timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1587995788185,17299,Get Historical Currency Rate,200,OK,Currency Converter API 1-943,text,true,,7055,247,767,767,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,17299,0,1927
1587995769574,35915,Get Available Currencies,200,OK,Currency Converter API 1-1293,text,true,,2471,220,766,766,https://currency-converter5.p.rapidapi.com/currency/list,35915,0,33754
1587995805327,165,Get Historical Currency Rate,200,OK,Currency Converter API 1-1789,text,true,,7055,247,766,766,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,165,0,0
1587995804610,884,Get Currency Rate,200,OK,Currency Converter API 1-1337,text,true,,7674,235,765,765,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,884,0,724
1587995805335,162,Get Historical Currency Rate,200,OK,Currency Converter API 1-647,text,true,,7055,247,765,765,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,162,0,0
1587995804798,718,Get Currency Rate,200,OK,Currency Converter API 1-827,text,true,,7674,235,764,764,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,718,0,555
1587995770733,34785,Get Available Currencies,200,OK,Currency Converter API 1-1831,text,true,,2471,220,764,764,https://currency-converter5.p.rapidapi.com/currency/list,34785,0,34263
1587995804832,686,Get Currency Rate,200,OK,Currency Converter API 1-923,text,true,,7674,235,764,764,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,686,0,529
1587995805361,158,Get Historical Currency Rate,200,OK,Currency Converter API 1-639,text,true,,7055,247,764,764,https://currency-converter5.p.rapidapi.com/currency/historical/2018-03-13?amount=10,158,0,0
1587995804731,789,Get Currency Rate,200,OK,Currency Converter API 1-1172,text,true,,7674,235,763,763,https://currency-converter5.p.rapidapi.com/currency/convert?amount=2398,789,0,598
